no,user_no,question_no,"status","created_at","updated_at"
2,83,1,"PASS","2021-05-24 13:55:45","2021-05-24 13:55:45"
3,83,1,"FAIL","2021-05-24 14:00:11","2021-05-24 14:00:11"
4,84,1,"FAIL","2021-05-24 22:14:53","2021-05-24 22:14:53"
5,83,1,"FAIL","2021-05-24 22:15:04","2021-05-24 22:15:04"
6,83,1,"FAIL","2021-05-25 02:49:29","2021-05-25 02:49:29"
7,83,2,"FAIL","2021-05-25 03:10:28","2021-05-25 03:10:28"
8,83,1,"PASS","2021-05-25 03:12:29","2021-05-25 03:12:29"
9,83,1,"FAIL","2021-05-25 03:29:07","2021-05-25 03:29:07"
10,83,1,"FAIL","2021-05-25 03:39:15","2021-05-25 03:39:15"
11,83,1,"FAIL","2021-05-25 03:57:41","2021-05-25 03:57:41"
12,83,1,"FAIL","2021-05-25 04:42:59","2021-05-25 04:42:59"
13,83,1,"PASS","2021-05-25 05:00:43","2021-05-25 05:00:43"
14,83,1,"FAIL","2021-05-25 05:08:22","2021-05-25 05:08:22"
15,83,1,"FAIL","2021-05-25 05:53:27","2021-05-25 05:53:27"
16,83,1,"FAIL","2021-05-25 06:09:00","2021-05-25 06:09:00"
17,83,1,"FAIL","2021-05-25 06:13:01","2021-05-25 06:13:01"
18,83,3,"FAIL","2021-05-25 06:14:06","2021-05-25 06:14:06"
19,83,1,"FAIL","2021-05-25 06:24:29","2021-05-25 06:24:29"
20,83,1,"FAIL","2021-05-25 06:31:10","2021-05-25 06:31:10"
21,83,1,"PASS","2021-05-25 06:56:43","2021-05-25 06:56:43"
22,83,1,"FAIL","2021-05-25 07:16:21","2021-05-25 07:16:21"
23,83,1,"FAIL","2021-05-25 07:21:18","2021-05-25 07:21:18"
24,83,1,"FAIL","2021-05-25 07:21:31","2021-05-25 07:21:31"
25,83,1,"FAIL","2021-05-25 07:27:49","2021-05-25 07:27:49"
26,83,1,"FAIL","2021-05-25 07:32:15","2021-05-25 07:32:15"
27,83,1,"FAIL","2021-05-25 08:25:02","2021-05-25 08:25:02"
28,83,1,"FAIL","2021-05-25 08:25:50","2021-05-25 08:25:50"
29,83,1,"FAIL","2021-05-25 09:17:29","2021-05-25 09:17:29"
30,83,1,"FAIL","2021-05-25 12:45:18","2021-05-25 12:45:18"
31,83,1,"PASS","2021-05-25 12:56:15","2021-05-25 12:56:15"
32,83,1,"FAIL","2021-05-25 15:51:58","2021-05-25 15:51:58"
33,83,7,"FAIL","2021-05-25 22:36:17","2021-05-25 22:36:17"
34,83,1,"FAIL","2021-05-26 00:54:04","2021-05-26 00:54:04"
35,83,1,"FAIL","2021-05-26 00:58:28","2021-05-26 00:58:28"
36,83,1,"FAIL","2021-05-26 08:25:12","2021-05-26 08:25:12"
37,83,1,"FAIL","2021-05-26 08:25:48","2021-05-26 08:25:48"
38,83,1,"PASS","2021-05-26 10:23:00","2021-05-26 10:23:00"
39,83,1,"PASS","2021-05-26 11:04:46","2021-05-26 11:04:46"
40,83,1,"FAIL","2021-05-26 11:12:41","2021-05-26 11:12:41"
41,83,9,"FAIL","2021-05-26 11:13:04","2021-05-26 11:13:04"
42,83,1,"FAIL","2021-05-26 11:15:57","2021-05-26 11:15:57"
43,83,6,"FAIL","2021-05-26 13:36:44","2021-05-26 13:36:44"
44,83,1,"FAIL","2021-05-26 13:37:12","2021-05-26 13:37:12"
45,143,2,"FAIL","2021-05-27 00:49:29","2021-05-27 00:49:29"
46,143,1,"FAIL","2021-05-27 00:51:14","2021-05-27 00:51:14"
47,143,3,"FAIL","2021-05-27 00:51:24","2021-05-27 00:51:24"
48,83,1,"PASS","2021-05-27 03:35:30","2021-05-27 03:35:30"
49,83,1,"PASS","2021-05-27 08:23:55","2021-05-27 08:23:55"
50,83,1,"FAIL","2021-05-27 08:45:03","2021-05-27 08:45:03"
